elo,name,date,year,color,id,Master_id
1483.3944789425316,Southampton,2019-08-24T14:00:00Z,2019-20,#D71920,16.0,21.0
1494.7577185139062,Man Utd,2019-08-24T14:00:00Z,2019-20,#DA291C,12.0,16.0
1503.4464851388386,Crystal Palace,2019-08-24T14:00:00Z,2019-20,#1B458F,7.0,7.0
1498.0757013135606,Sheffield Utd,2019-08-24T14:00:00Z,2019-20,#EE2737,15.0,20.0
1525.1285023391843,Leicester,2019-08-24T14:00:00Z,2019-20,#003090,9.0,12.0
1428.7187762520698,Watford,2019-08-24T14:00:00Z,2019-20,#FFEE00,18.0,23.0
1501.6501759656044,West Ham,2019-08-24T14:00:00Z,2019-20,#7A263A,19.0,25.0
1571.6839442978676,Liverpool,2019-08-24T16:30:00Z,2019-20,#C8102E,10.0,13.0
1524.7428998317134,Arsenal,2019-08-24T16:30:00Z,2019-20,#EF0107,1.0,0.0
1498.3334204363953,Bournemouth,2019-08-25T13:00:00Z,2019-20,#DA291C,3.0,2.0
1549.8707832163495,Man City,2019-08-25T13:00:00Z,2019-20,#6CABDD,11.0,15.0
1494.6856088107286,Spurs,2019-08-25T15:30:00Z,2019-20,#132257,17.0,22.0
1480.3143911892714,Newcastle,2019-08-25T15:30:00Z,2019-20,#241F20,13.0,17.0
1501.6665795636047,Wolves,2019-08-25T15:30:00Z,2019-20,#FDB913,20.0,26.0
1500.1292167836505,Burnley,2019-08-25T15:30:00Z,2019-20,#6C1D45,5.0,5.0
1484.211838338314,Southampton,2019-08-31T11:30:00Z,2019-20,#D71920,16.0,21.0
1493.9403591181238,Man Utd,2019-08-31T11:30:00Z,2019-20,#DA291C,12.0,16.0
1503.0753790305089,Chelsea,2019-08-31T14:00:00Z,2019-20,#034694,6.0,6.0
1498.4633171834628,Sheffield Utd,2019-08-31T14:00:00Z,2019-20,#EE2737,15.0,20.0
1526.8954158006125,Crystal Palace,2019-08-31T14:00:00Z,2019-20,#1B458F,7.0,7.0
1458.4139646983754,Aston Villa,2019-08-31T14:00:00Z,2019-20,#670E36,2.0,1.0
1548.2042547565864,Leicester,2019-08-31T14:00:00Z,2019-20,#003090,9.0,12.0
